meal,difficulty,taste k,taste n,percentile,percentile,percentile,preference,efficiency,normalized
instant pot chicken,1,4,4.5,0.9358255466,0.6424587413,0.8879786034,0.6678541441,0.7134174074,100
french fry nachos,1.5,5,3.5,0.7142424204,0.9448720855,0.4222641747,0.5412768807,0.50718128,93
mango coconut tofu,2,5,5,0.3486372406,0.9448720855,0.9726860721,0.9389214982,0.4855611848,90
peanut sauce stuff,2,5,4.25,0.3486372406,0.9448720855,0.8058927606,0.8184239982,0.4344318519,82
kielbasa,1.5,4,3.5,0.7142424204,0.6424587413,0.4222641747,0.4018243841,0.4225167114,80
white chili,2,5,4,0.3486372406,0.9448720855,0.694929354,0.7382600339,0.4004167892,75
chicken patties,1,3,3.5,0.9358255466,0.1929800689,0.4222641747,0.1945553456,0.3736301544,68
curry,2,4,4.5,0.3486372406,0.6424587413,0.8879786034,0.6678541441,0.3705422591,68
tacos,1.5,3,4,0.7142424204,0.1929800689,0.694929354,0.289031113,0.3540375242,63
steak,1.5,3,4,0.7142424204,0.1929800689,0.694929354,0.289031113,0.3540375242,63
normal burgers,2,4,4,0.3486372406,0.6424587413,0.694929354,0.5575787429,0.323750353,55
ramen,2,4,4,0.3486372406,0.6424587413,0.694929354,0.5575787429,0.323750353,55
homemade pizza,2,4,4,0.3486372406,0.6424587413,0.694929354,0.5575787429,0.323750353,55
takeout,1,3,3,0.9358255466,0.1929800689,0.1835069615,0.1118283506,0.314239388,52
b4d,1.5,2.5,4,0.7142424204,0.06904122759,0.694929354,0.2149820332,0.3090807573,50
red chili,2,3,3,0.3486372406,0.1929800689,0.1835069615,0.1118283506,0.1346101616,46
veggie burgers,1,3,2.5,0.9358255466,0.1929800689,0.05391133032,0.06692475592,0.2820025238,42
stir fry,2,4,3.5,0.3486372406,0.6424587413,0.4222641747,0.4018243841,0.2576608784,36
stuffed green peppers,2,4,3.5,0.3486372406,0.6424587413,0.4222641747,0.4018243841,0.2576608784,36
frozen pizza,1,2.5,2.5,0.9358255466,0.06904122759,0.05391133032,0.03259919169,0.2573597628,35
chicken,2,3,4,0.3486372406,0.1929800689,0.694929354,0.289031113,0.2098005932,24
kale sausage soup,2,5,2,0.3486372406,0.9448720855,0.01033294303,0.2436829119,0.1905585071,19
spring rolls,3,4,4.5,0.01076242045,0.6424587413,0.8879786034,0.6678541441,0.1732480047,16
homemade crust pizza,3,4,4,0.01076242045,0.6424587413,0.694929354,0.5575787429,0.1450857393,12
spaghetti,2,3,3,0.3486372406,0.1929800689,0.1835069615,0.1118283506,0.1346101616,10
veggie rice,2,3,3,0.3486372406,0.1929800689,0.1835069615,0.1118283506,0.1346101616,10
pork,2,3,3,0.3486372406,0.1929800689,0.1835069615,0.1118283506,0.1346101616,10
butter chicken,,,,,,,,,
change your life chicken,,,,,,,,,
takeout!,,,,,,,,,
